Category,Subcategory,Software Name,ArcForge ID,ArcForge Key,Gaming,Creator,Developer,Homelab,Secure,Catalog,Priority,Detection Method,Detection Target,Detection Source,Package Status,Winget ID,Chocolatey ID,ArcForge Link,FOSS,Notes,ArcForge Description
AI / Automation,AI / Productivity,AI as Workspace,ai-as-workspace,ARCInstallai-as-workspace,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching AI as Workspace,Existing / manually set,Winget only,NitroRCr.AIasWorkspace,N/A,https://aiaw.app/,TRUE,General AI workspace assistant for productivity and workflow support.,General AI workspace assistant for productivity and workflow support.
AI / Automation,AI / Productivity,Claude,claude,ARCInstallclaude,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Claude,Existing / manually set,Winget + Chocolatey,Anthropic.Claude,claude,https://claude.ai/,FALSE,"General-purpose AI assistant useful for writing, research, planning, and technical guidance.","General-purpose AI assistant useful for writing, research, planning, and technical guidance."
AI / Automation,Local AI / LLM Tools,Jan,jan,ARCInstalljan,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Jan,Default inferred detection for desktop app,Winget + Chocolatey,Jan.Jan,jan,https://jan.ai/,TRUE,Local AI chat app for running or managing models on the workstation.,Local AI chat app for running or managing models on the workstation.
AI / Automation,Local AI / LLM Tools,Ollama,ollama,ARCInstallollama,No,No,No,No,No,Yes,Recommended,Command,ollama,Inferred from CLI/runtime tooling,Winget only,Ollama.Ollama,N/A,https://ollama.com/,TRUE,Local LLM runtime commonly used for running models from the command line or local services.,Local LLM runtime commonly used for running models from the command line or local services.
AI / Automation,Local AI / LLM Tools,AnythingLLM,anythingllm,ARCInstallanythingllm,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching AnythingLLM,Default inferred detection for desktop app,Catalog only / manual,N/A,N/A,https://anythingllm.com/,TRUE,"Local/private knowledge assistant for documents, workspaces, and self-hosted AI workflows.","Local/private knowledge assistant for documents, workspaces, and self-hosted AI workflows."
AI / Automation,AI Developer Tools,Claude Code,claude-code,ARCInstallclaude-code,No,No,No,No,No,Yes,Optional,Command,claude,Inferred from CLI/runtime tooling,Winget + Chocolatey,Anthropic.ClaudeCode,claude-code,https://code.claude.com/,FALSE,AI coding assistant/agent for developer workflows.,AI coding assistant/agent for developer workflows.
AI / Automation,Local AI / LLM Tools,LM Studio,lm-studio,ARCInstalllm-studio,No,No,No,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching LM Studio,Default inferred detection for desktop app,Winget + Chocolatey,ElementLabs.LMStudio,lm-studio,https://lmstudio.ai/,FALSE,"Desktop app for downloading, testing, and running local language models.","Desktop app for downloading, testing, and running local language models."
AI / Automation,Automation / Scripting,AutoIt,autoit,ARCInstallautoit,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching AutoIt,Default inferred detection for desktop app,Winget + Chocolatey,AutoIt.AutoIt,autoit.install,https://www.autoitscript.com/site/autoit/,FALSE,Windows scripting and automation tool for GUI tasks and repeatable desktop actions.,Windows scripting and automation tool for GUI tasks and repeatable desktop actions.
AI / Automation,Productivity / Translation,DeepL,deepl,ARCInstalldeepl,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching DeepL,Default inferred detection for desktop app,Winget + Chocolatey,DeepL.DeepL,deepl,https://www.deepl.com/en/windows-app,FALSE,Translation and writing assistant useful for documentation and multilingual communication.,Translation and writing assistant useful for documentation and multilingual communication.
AI / Automation,AI Developer Tools,Microsoft AI Shell,microsoft-ai-shell,ARCInstallmicrosoft-ai-shell,No,No,No,No,No,Yes,Optional,Command,aish,Inferred from CLI/runtime tooling,Winget only,Microsoft.AIShell,N/A,https://github.com/PowerShell/AIShell,TRUE,AI-assisted shell/terminal helper for command-line and scripting workflows.,AI-assisted shell/terminal helper for command-line and scripting workflows.
